data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-07-17 06:30:47,2025,988777,Em execução,1712801,MAURILÂNDIA DO TOCANTINS,TO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4781000.0,256835.81,0.05372010248901903,4524164.19
2026-07-17 06:30:47,2025,988779,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,965000.0,0.0,0.0,965000.0
2026-07-17 06:30:47,2025,988780,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1455500.0,0.0,0.0,1455500.0
2026-07-17 06:30:47,2025,988784,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,965000.0,0.0,0.0,965000.0
2026-07-17 06:30:47,2025,988820,Em execução,2708501,SÃO LUÍS DO QUITUNDE,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,958000.0,0.0,0.0,958000.0
2026-07-17 06:30:47,2025,988829,Em execução,4107306,DOUTOR CAMARGO,PR,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,292230.0,0.0,0.0,292230.0
2026-07-17 06:30:47,2025,988885,Em execução,3202108,ECOPORANGA,ES,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,626957.5,0.0,0.0,626957.5
2026-07-17 06:30:47,2025,988896,Em execução,5007901,SIDROLÂNDIA,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1000000.0,0.0,0.0,1000000.0
2026-07-17 06:30:47,2025,988897,Em execução,3138807,LUZ,MG,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,393533.0,0.0,0.0,393533.0
2026-07-17 06:30:47,2025,988900,Em execução,5103403,CUIABÁ,MT,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,18140100.0,0.0,0.0,18140100.0
2026-07-17 06:30:47,2025,988901,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,965000.0,0.0,0.0,965000.0
2026-07-17 06:30:47,2025,988904,Em execução,2311108,PORTEIRAS,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4786730.0,0.0,0.0,4786730.0
2026-07-17 06:30:47,2025,988907,Em execução,2706901,PILAR,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,956500.0,0.0,0.0,956500.0
2026-07-17 06:30:47,2025,988908,Em execução,2705507,MURICI,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,2869000.0,0.0,0.0,2869000.0
2026-07-17 06:30:47,2025,988909,Em execução,2308302,MILAGRES,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,3829775.0,246112.28,0.06426285617301278,3583662.72
2026-07-17 06:30:47,2025,988912,Em execução,3305406,SAPUCAIA,RJ,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,3827839.55,0.0,0.0,3827839.55
2026-07-17 06:30:47,2025,988913,Em execução,5300108,BRASÍLIA,DF,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1579404.4,0.0,0.0,1579404.4
2026-07-17 06:30:47,2025,988916,Em execução,2505006,CUBATI,PB,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,2390000.0,0.0,0.0,2390000.0
2026-07-17 06:30:47,2025,988918,Em execução,2703205,IGREJA NOVA,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,965000.0,0.0,0.0,965000.0
2026-07-17 06:30:47,2025,988943,Em execução,2705309,MINADOR DO NEGRÃO,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,487500.0,0.0,0.0,487500.0
2026-07-17 06:30:47,2025,988945,Em execução,2704500,MARAGOGI,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,9560000.0,0.0,0.0,9560000.0
2026-07-17 06:30:47,2025,988956,Em execução,2300101,ABAIARA,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1435500.0,0.0,0.0,1435500.0
2026-07-17 06:30:47,2025,988969,Em execução,1705102,CHAPADA DA NATIVIDADE,TO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,726614.0,0.0,0.0,726614.0
2026-07-17 06:30:47,2025,988970,Em execução,2709301,UNIÃO DOS PALMARES,AL,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1448500.0,0.0,0.0,1448500.0
2026-07-17 06:30:47,2025,988971,Em execução,3161700,SÃO GONÇALO DO ABAETÉ,MG,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,2870000.0,0.0,0.0,2870000.0
2026-07-17 06:30:47,2025,988972,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,965000.0,0.0,0.0,965000.0
2026-07-17 06:30:47,2025,989138,Em execução,3169307,TRÊS CORAÇÕES,MG,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1050000.0,0.0,0.0,1050000.0
2026-07-17 06:30:47,2025,989139,Em execução,5000708,ANASTÁCIO,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,800000.0,0.0,0.0,800000.0
2026-07-17 06:30:47,2025,989141,Em execução,5003488,DOIS IRMÃOS DO BURITI,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,491700.0,0.0,0.0,491700.0
2026-07-17 06:30:47,2025,989142,Em execução,5006309,PARANAÍBA,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,964550.0,0.0,0.0,964550.0
2026-07-17 06:30:47,2025,989143,Em execução,3545605,SANTA ADÉLIA,SP,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,13399325.0,0.0,0.0,13399325.0
2026-07-17 06:30:47,2025,989147,Em execução,1301001,CARAUARI,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4780500.0,0.0,0.0,4780500.0
2026-07-17 06:30:47,2025,989148,Em execução,1300607,BENJAMIN CONSTANT,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4785000.0,0.0,0.0,4785000.0
2026-07-17 06:30:47,2025,989149,Em execução,1302801,MARAÃ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,3840000.0,0.0,0.0,3840000.0
2026-07-17 06:30:47,2025,989152,Em execução,5205497,CIDADE OCIDENTAL,GO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,2876730.0,0.0,0.0,2876730.0
2026-07-17 06:30:47,2025,989153,Em execução,1101708,URUPÁ,RO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1538000.0,0.0,0.0,1538000.0
2026-07-17 06:30:47,2025,989154,Em execução,5006309,PARANAÍBA,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,47800000.0,0.0,0.0,47800000.0
2026-07-17 06:30:47,2025,989156,Em execução,1301100,CAREIRO,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,7649000.0,0.0,0.0,7649000.0
2026-07-17 06:30:47,2025,989157,Em execução,1100262,RIO CRESPO,RO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1969200.0,0.0,0.0,1969200.0
2026-07-17 06:30:47,2025,989164,Em execução,1300904,CANUTAMA,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,3824500.0,0.0,0.0,3824500.0
2026-07-17 06:30:47,2025,989180,Em execução,3535002,PALESTINA,SP,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,600000.0,0.0,0.0,600000.0
2026-07-17 06:30:47,2025,989182,Em execução,5001003,APARECIDA DO TABOADO,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,19141055.0,0.0,0.0,19141055.0
2026-07-17 06:30:47,2025,989183,Em execução,1301951,ITAMARATI,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,2875000.0,0.0,0.0,2875000.0
2026-07-17 06:30:47,2025,989184,Em execução,1304104,TAPAUÁ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4795000.0,0.0,0.0,4795000.0
2026-07-17 06:30:47,2025,989185,Em execução,1304260,UARINI,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4785000.0,0.0,0.0,4785000.0
2026-07-17 06:30:47,2025,989186,Em execução,1300680,BOA VISTA DO RAMOS,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,4795000.0,0.0,0.0,4795000.0
2026-07-17 06:30:47,2025,989187,Em execução,1300706,BOCA DO ACRE,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,38245000.0,0.0,0.0,38245000.0
2026-07-17 06:30:47,2025,989188,Em execução,1303106,NOVA OLINDA DO NORTE,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4780500.0,0.0,0.0,4780500.0
2026-07-17 06:30:47,2025,989190,Em execução,1300060,AMATURÁ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,2875000.0,0.0,0.0,2875000.0
2026-07-17 06:30:47,2025,989191,Em execução,1302702,MANICORÉ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4826000.0,0.0,0.0,4826000.0
2026-07-17 06:30:47,2025,989192,Em execução,5104104,GUARANTÃ DO NORTE,MT,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1398000.0,0.0,0.0,1398000.0
2026-07-17 06:30:47,2025,989250,Em execução,2211001,TERESINA,PI,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1333333.34,0.0,0.0,1333333.34
2026-07-17 06:30:47,2025,989254,Em execução,2806503,SANTA ROSA DE LIMA,SE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,765000.0,0.0,0.0,765000.0
2026-07-17 06:30:47,2025,989256,Em execução,5005707,NAVIRAÍ,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1156000.0,0.0,0.0,1156000.0
2026-07-17 06:30:47,2025,989263,Em execução,2311207,POTENGI,CE,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4786730.0,0.0,0.0,4786730.0
2026-07-17 06:30:47,2025,989266,Em execução,1303809,SÃO GABRIEL DA CACHOEIRA,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,4795000.0,0.0,0.0,4795000.0
2026-07-17 06:30:47,2025,989268,Em execução,1302900,MAUÉS,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,7670000.0,0.0,0.0,7670000.0
2026-07-17 06:30:47,2025,989274,Prestação de Contas Iniciada Por Antecipação,4304697,CAPITÃO,RS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,358500.0,354198.0,0.988,4302.0
2026-07-17 06:30:47,2025,989275,Em execução,5000609,AMAMBAI,MS,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,928642.0,0.0,0.0,928642.0
2026-07-17 06:30:47,2025,989277,Em execução,1304203,TEFÉ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,4835000.0,0.0,0.0,4835000.0
2026-07-17 06:30:47,2025,989281,Em execução,1100064,COLORADO DO OESTE,RO,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,1434100.0,0.0,0.0,1434100.0
2026-07-17 06:30:47,2025,989282,Em execução,2921401,MIRANGABA,BA,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,277300.0,0.0,0.0,277300.0
2026-07-17 06:30:47,2025,989283,Em execução,1301704,HUMAITÁ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",00SX,482500.0,0.0,0.0,482500.0
2026-07-17 06:30:47,2025,989284,Em execução,1303304,NOVO ARIPUANÃ,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,4795000.0,0.0,0.0,4795000.0
2026-07-17 06:30:47,2025,989285,Em execução,1303569,RIO PRETO DA EVA,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,4785000.0,0.0,0.0,4785000.0
2026-07-17 06:30:47,2025,989289,Em execução,1303536,PRESIDENTE FIGUEIREDO,AM,"2217 - Desenvolvimento Regional, Territorial e Urbano",1211,4785000.0,0.0,0.0,4785000.0
