data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,GERALDO COSSETIN & CIA LTDA,90355561000104,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,12255.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,IRMAOS PIANESSO LTDA-ME,09110125000149,2010.0,Materiais de obras,,Outros,50.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,IRMAOS PIANESSO LTDA-ME,09110125000149,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,2902.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,J L S INDUSTRIA COMERCIO E LICITACOES LTDA,10682304000130,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,14136.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,M & M INDUSTRIA DE MAQUINAS E EQUIPAMENTOS PARA FRIGORIFICOS LTDA,09007041000184,2010.0,Mobiliário e Equipamentos de Escritório,,Outros,2900.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,M & M INDUSTRIA DE MAQUINAS E EQUIPAMENTOS PARA FRIGORIFICOS LTDA,09007041000184,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,1800.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,MARILISE KOZOROSKI GIORGETTA - ME,03158130000145,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,6362.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,REDEMAQ REAL DISTRIBUIDORA DE MAQUINAS AGRICOLAS LTDA,88594544000170,2010.0,OUTROS / NAO CLASSIFICADO,,Outros,2550.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,Colhedora,,Equipamentos,28438.0,5.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RS,4317509,SANTO ÂNGELO,5384/2008,2008-11-05,CONVENIO,700938,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,222230.0,200000.0,22230.0,200000.0,200000.0,70916.72,,,19999.99,,,SOL A SOL COMERCIO E REPRESENTACOES LTDA,90271925000160,2010.0,Mobiliário e Equipamentos de Escritório,,Outros,2300.0,0.0,,,,,97.08365950681366,,
